text,label
You must be proud of how wrong you always are.,toxic
"Thank you so much for your help, I appreciate it.",non-toxic
I hate you more than anything.,toxic
Life feels so empty sometimes.,non-toxic
You make my life brighter every day.,non-toxic
People like you don’t belong here.,toxic
People like you don’t belong here.,toxic
I had coffee this morning and it was good.,non-toxic
You make my life brighter every day.,non-toxic
People like you don’t belong here.,toxic
I feel really down today.,non-toxic
"Thank you so much for your help, I appreciate it.",non-toxic
"I can’t stand you, you’re useless!",toxic
It’s raining outside today.,non-toxic
"Stay away, nobody wants your type here.",toxic
"You’re such a failure, stop trying.",toxic
You should just give up already.,toxic
I’m so happy to see you again!,non-toxic
"Wow, you’re a genius… not.",toxic
"Shut up, nobody cares what you think.",toxic
"Nice job, if failing was the goal.",toxic
"No one likes you, get lost.",toxic
"Nobody wants you here, loser.",toxic
People like you don’t belong here.,toxic
Life feels so empty sometimes.,non-toxic
You must be proud of how wrong you always are.,toxic
You should just give up already.,toxic
It’s raining outside today.,non-toxic
You make my life brighter every day.,non-toxic
"Nice job, if failing was the goal.",toxic
You must be proud of how wrong you always are.,toxic
"Nobody wants you here, loser.",toxic
"Wow, you’re a genius… not.",toxic
Sometimes I just feel so alone.,non-toxic
I’m scared of losing the people I love.,non-toxic
You should just give up already.,toxic
You should just give up already.,toxic
I love spending time with you.,non-toxic
You make my life brighter every day.,non-toxic
"Congratulations on your success, you deserve it!",non-toxic
I hate you more than anything.,toxic
I had coffee this morning and it was good.,non-toxic
You must be proud of how wrong you always are.,toxic
The weather forecast says it will be sunny tomorrow.,non-toxic
I’m reading a new book about science.,non-toxic
It’s raining outside today.,non-toxic
"Congratulations on your success, you deserve it!",non-toxic
"Congratulations on your success, you deserve it!",non-toxic
"Wow, you’re a genius… not.",toxic
It’s raining outside today.,non-toxic
I’m scared of losing the people I love.,non-toxic
The weather forecast says it will be sunny tomorrow.,non-toxic
I’m reading a new book about science.,non-toxic
Go back to where you came from.,toxic
The train was late by ten minutes.,non-toxic
I love spending time with you.,non-toxic
I’m scared of losing the people I love.,non-toxic
I’m reading a new book about science.,non-toxic
The train was late by ten minutes.,non-toxic
The train was late by ten minutes.,non-toxic
Your kind is ruining everything.,toxic
Your kind is ruining everything.,toxic
Go back to where you came from.,toxic
Your kind is ruining everything.,toxic
I’m so happy to see you again!,non-toxic
I’m reading a new book about science.,non-toxic
"Nobody wants you here, loser.",toxic
I had coffee this morning and it was good.,non-toxic
I’m so happy to see you again!,non-toxic
"Shut up, nobody cares what you think.",toxic
You must be proud of how wrong you always are.,toxic
You’re a complete joke to everyone.,toxic
Your kind is ruining everything.,toxic
"I can’t stand you, you’re useless!",toxic
"Stay away, nobody wants your type here.",toxic
You should just give up already.,toxic
You’re worthless and will never change.,toxic
It’s raining outside today.,non-toxic
People like you don’t belong here.,toxic
You’re pathetic and weak.,toxic
I’m reading a new book about science.,non-toxic
I feel really down today.,non-toxic
"Shut up, nobody cares what you think.",toxic
"Thank you so much for your help, I appreciate it.",non-toxic
"Stay away, nobody wants your type here.",toxic
I’m reading a new book about science.,non-toxic
It’s raining outside today.,non-toxic
"Wow, you’re a genius… not.",toxic
You’ll never be equal to us.,toxic
"I can’t stand you, you’re useless!",toxic
You must be proud of how wrong you always are.,toxic
"Shut up, nobody cares what you think.",toxic
You’ll never be equal to us.,toxic
"You’re such a failure, stop trying.",toxic
You’re pathetic and weak.,toxic
"Stay away, nobody wants your type here.",toxic
I’m worried about the future.,non-toxic
I’m scared of losing the people I love.,non-toxic
I hate you more than anything.,toxic
I had coffee this morning and it was good.,non-toxic
You make my life brighter every day.,non-toxic
You’re a complete joke to everyone.,toxic
Life feels so empty sometimes.,non-toxic
"Great, another one of your brilliant mistakes.",toxic
You’re a complete joke to everyone.,toxic
I’m reading a new book about science.,non-toxic
Your brain must be on vacation.,toxic
I feel really down today.,non-toxic
Your brain must be on vacation.,toxic
The weather forecast says it will be sunny tomorrow.,non-toxic
I’m so happy to see you again!,non-toxic
Your brain must be on vacation.,toxic
"Wow, you’re a genius… not.",toxic
I feel really down today.,non-toxic
"I can’t stand you, you’re useless!",toxic
"Stay away, nobody wants your type here.",toxic
You make my life brighter every day.,non-toxic
Sometimes I just feel so alone.,non-toxic
Sometimes I just feel so alone.,non-toxic
"Congratulations on your success, you deserve it!",non-toxic
"Thank you so much for your help, I appreciate it.",non-toxic
"Thank you so much for your help, I appreciate it.",non-toxic
You’re a complete joke to everyone.,toxic
Sometimes I just feel so alone.,non-toxic
You make my life brighter every day.,non-toxic
Sometimes I just feel so alone.,non-toxic
"Stay away, nobody wants your type here.",toxic
Life feels so empty sometimes.,non-toxic
I had coffee this morning and it was good.,non-toxic
Go back to where you came from.,toxic
"Thank you so much for your help, I appreciate it.",non-toxic
I love spending time with you.,non-toxic
Your kind is ruining everything.,toxic
"Nobody wants you here, loser.",toxic
It’s raining outside today.,non-toxic
Life feels so empty sometimes.,non-toxic
I’m so happy to see you again!,non-toxic
I’m reading a new book about science.,non-toxic
I’m worried about the future.,non-toxic
"You’re such a failure, stop trying.",toxic
I’m reading a new book about science.,non-toxic
I’m so happy to see you again!,non-toxic
"No one likes you, get lost.",toxic
The weather forecast says it will be sunny tomorrow.,non-toxic
Your kind is ruining everything.,toxic
"No one likes you, get lost.",toxic
I’m scared of losing the people I love.,non-toxic
It’s raining outside today.,non-toxic
You’re a complete joke to everyone.,toxic
You’re a complete joke to everyone.,toxic
The train was late by ten minutes.,non-toxic
I had coffee this morning and it was good.,non-toxic
The train was late by ten minutes.,non-toxic
I’m worried about the future.,non-toxic
"Great, another one of your brilliant mistakes.",toxic
I hate you more than anything.,toxic
I’m reading a new book about science.,non-toxic
I’m worried about the future.,non-toxic
"Nobody wants you here, loser.",toxic
It’s raining outside today.,non-toxic
You make my life brighter every day.,non-toxic
"Great, another one of your brilliant mistakes.",toxic
"You’re such a failure, stop trying.",toxic
I had coffee this morning and it was good.,non-toxic
You’re worthless and will never change.,toxic
"Stay away, nobody wants your type here.",toxic
I had coffee this morning and it was good.,non-toxic
I love spending time with you.,non-toxic
"Shut up, nobody cares what you think.",toxic
Sometimes I just feel so alone.,non-toxic
"Congratulations on your success, you deserve it!",non-toxic
I had coffee this morning and it was good.,non-toxic
You’re pathetic and weak.,toxic
I’m scared of losing the people I love.,non-toxic
It’s raining outside today.,non-toxic
I love spending time with you.,non-toxic
"Great, another one of your brilliant mistakes.",toxic
I’m reading a new book about science.,non-toxic
I love spending time with you.,non-toxic
I hate you more than anything.,toxic
You must be proud of how wrong you always are.,toxic
"Congratulations on your success, you deserve it!",non-toxic
"Nice job, if failing was the goal.",toxic
"No one likes you, get lost.",toxic
"Stay away, nobody wants your type here.",toxic
"Thank you so much for your help, I appreciate it.",non-toxic
You’re pathetic and weak.,toxic
"Thank you so much for your help, I appreciate it.",non-toxic
"Thank you so much for your help, I appreciate it.",non-toxic
It’s raining outside today.,non-toxic
You must be proud of how wrong you always are.,toxic
Your brain must be on vacation.,toxic
"Wow, you’re a genius… not.",toxic
You’re pathetic and weak.,toxic
You make my life brighter every day.,non-toxic
Sometimes I just feel so alone.,non-toxic
I had coffee this morning and it was good.,non-toxic
Life feels so empty sometimes.,non-toxic
It’s raining outside today.,non-toxic
"Stay away, nobody wants your type here.",toxic
Your kind is ruining everything.,toxic
I’m so happy to see you again!,non-toxic
I feel really down today.,non-toxic
It’s raining outside today.,non-toxic
It’s raining outside today.,non-toxic
I’m reading a new book about science.,non-toxic
It’s raining outside today.,non-toxic
I’m worried about the future.,non-toxic
You must be proud of how wrong you always are.,toxic
"Wow, you’re a genius… not.",toxic
You’re pathetic and weak.,toxic
Life feels so empty sometimes.,non-toxic
"Nice job, if failing was the goal.",toxic
Your brain must be on vacation.,toxic
You’re pathetic and weak.,toxic
"Nobody wants you here, loser.",toxic
"Nobody wants you here, loser.",toxic
I’m so happy to see you again!,non-toxic
People like you don’t belong here.,toxic
I feel really down today.,non-toxic
"Nice job, if failing was the goal.",toxic
Go back to where you came from.,toxic
I’m reading a new book about science.,non-toxic
I’m so happy to see you again!,non-toxic
"Thank you so much for your help, I appreciate it.",non-toxic
"Wow, you’re a genius… not.",toxic
I’m so happy to see you again!,non-toxic
You’ll never be equal to us.,toxic
"No one likes you, get lost.",toxic
The train was late by ten minutes.,non-toxic
The train was late by ten minutes.,non-toxic
"Congratulations on your success, you deserve it!",non-toxic
"You’re such a failure, stop trying.",toxic
I’m reading a new book about science.,non-toxic
You should just give up already.,toxic
"No one likes you, get lost.",toxic
"Great, another one of your brilliant mistakes.",toxic
"Thank you so much for your help, I appreciate it.",non-toxic
I’m so happy to see you again!,non-toxic
Life feels so empty sometimes.,non-toxic
"Wow, you’re a genius… not.",toxic
"Thank you so much for your help, I appreciate it.",non-toxic
"Nobody wants you here, loser.",toxic
It’s raining outside today.,non-toxic
You’re pathetic and weak.,toxic
I’m reading a new book about science.,non-toxic
I’m worried about the future.,non-toxic
You make my life brighter every day.,non-toxic
Your kind is ruining everything.,toxic
I’m scared of losing the people I love.,non-toxic
"I can’t stand you, you’re useless!",toxic
You’ll never be equal to us.,toxic
"Nice job, if failing was the goal.",toxic
"Thank you so much for your help, I appreciate it.",non-toxic
You’re a complete joke to everyone.,toxic
"Nobody wants you here, loser.",toxic
I’m reading a new book about science.,non-toxic
"Great, another one of your brilliant mistakes.",toxic
The train was late by ten minutes.,non-toxic
You’re worthless and will never change.,toxic
You’re worthless and will never change.,toxic
I had coffee this morning and it was good.,non-toxic
"Nobody wants you here, loser.",toxic
It’s raining outside today.,non-toxic
Sometimes I just feel so alone.,non-toxic
Sometimes I just feel so alone.,non-toxic
You’re pathetic and weak.,toxic
It’s raining outside today.,non-toxic
"I can’t stand you, you’re useless!",toxic
Life feels so empty sometimes.,non-toxic
I feel really down today.,non-toxic
I’m scared of losing the people I love.,non-toxic
"Congratulations on your success, you deserve it!",non-toxic
"Shut up, nobody cares what you think.",toxic
"Wow, you’re a genius… not.",toxic
"Great, another one of your brilliant mistakes.",toxic
"Stay away, nobody wants your type here.",toxic
Go back to where you came from.,toxic
People like you don’t belong here.,toxic
Sometimes I just feel so alone.,non-toxic
"I can’t stand you, you’re useless!",toxic
The train was late by ten minutes.,non-toxic
Go back to where you came from.,toxic
I’m scared of losing the people I love.,non-toxic
The train was late by ten minutes.,non-toxic
You’ll never be equal to us.,toxic
I hate you more than anything.,toxic
Your brain must be on vacation.,toxic
Your kind is ruining everything.,toxic
You’re worthless and will never change.,toxic
You’re a complete joke to everyone.,toxic
"You’re such a failure, stop trying.",toxic
Go back to where you came from.,toxic
People like you don’t belong here.,toxic
I’m so happy to see you again!,non-toxic
"Thank you so much for your help, I appreciate it.",non-toxic
"You’re such a failure, stop trying.",toxic
"Stay away, nobody wants your type here.",toxic
Your kind is ruining everything.,toxic
You’ll never be equal to us.,toxic
You’re a complete joke to everyone.,toxic
I’m worried about the future.,non-toxic
People like you don’t belong here.,toxic
It’s raining outside today.,non-toxic
You make my life brighter every day.,non-toxic
The train was late by ten minutes.,non-toxic
People like you don’t belong here.,toxic
The weather forecast says it will be sunny tomorrow.,non-toxic
The weather forecast says it will be sunny tomorrow.,non-toxic
"Thank you so much for your help, I appreciate it.",non-toxic
I hate you more than anything.,toxic
You make my life brighter every day.,non-toxic
"Nice job, if failing was the goal.",toxic
"I can’t stand you, you’re useless!",toxic
I’m reading a new book about science.,non-toxic
"Nobody wants you here, loser.",toxic
"I can’t stand you, you’re useless!",toxic
"Thank you so much for your help, I appreciate it.",non-toxic
You must be proud of how wrong you always are.,toxic
People like you don’t belong here.,toxic
I’m so happy to see you again!,non-toxic
"I can’t stand you, you’re useless!",toxic
I love spending time with you.,non-toxic
You’re pathetic and weak.,toxic
It’s raining outside today.,non-toxic
You should just give up already.,toxic
I feel really down today.,non-toxic
I had coffee this morning and it was good.,non-toxic
I’m reading a new book about science.,non-toxic
"No one likes you, get lost.",toxic
"Thank you so much for your help, I appreciate it.",non-toxic
"Congratulations on your success, you deserve it!",non-toxic
You make my life brighter every day.,non-toxic
"Congratulations on your success, you deserve it!",non-toxic
I had coffee this morning and it was good.,non-toxic
